block,v3_usdc_per_weth,v2_usdc_per_weth,spread_pct,direction
47146518,1619.3588,1622.4778,0.19261,V3->V2
47146519,1619.2878,1622.4778,0.19700,V3->V2
47146520,1619.2877,1622.4778,0.19700,V3->V2
47146521,1619.2877,1622.4778,0.19700,V3->V2
47146522,1619.2875,1622.4778,0.19702,V3->V2
47146523,1619.2873,1622.4778,0.19703,V3->V2
47146524,1619.2873,1622.4778,0.19703,V3->V2
47146525,1619.2996,1622.4778,0.19627,V3->V2
47146526,1619.2995,1622.4778,0.19627,V3->V2
47146527,1619.2995,1622.4778,0.19627,V3->V2
47146528,1619.2994,1622.4778,0.19628,V3->V2
47146529,1619.2994,1622.4778,0.19628,V3->V2
47146530,1619.2994,1622.4778,0.19628,V3->V2
47146531,1619.2993,1622.4778,0.19628,V3->V2
47146532,1619.2992,1622.4778,0.19629,V3->V2
47146533,1619.2991,1622.4778,0.19630,V3->V2
47146534,1619.2990,1622.4778,0.19631,V3->V2
47146535,1619.2990,1622.4778,0.19631,V3->V2
47146536,1619.2989,1622.4778,0.19631,V3->V2
47146537,1619.2988,1622.4778,0.19632,V3->V2
47146538,1619.4796,1622.4778,0.18513,V3->V2
47146539,1619.5619,1622.4778,0.18004,V3->V2
47146540,1619.5618,1622.4778,0.18005,V3->V2
47146541,1619.6305,1622.4778,0.17580,V3->V2
47146542,1619.6294,1622.4778,0.17587,V3->V2
47146543,1619.6292,1622.4778,0.17588,V3->V2
47146544,1619.6292,1622.4778,0.17588,V3->V2
47146545,1619.6288,1622.4778,0.17590,V3->V2
47146546,1619.6287,1622.4778,0.17591,V3->V2
47146547,1619.7209,1622.4778,0.17021,V3->V2
47146548,1619.7209,1622.4778,0.17021,V3->V2
47146549,1619.7208,1622.4778,0.17021,V3->V2
47146550,1619.7198,1622.4778,0.17027,V3->V2
47146551,1619.7197,1622.4778,0.17028,V3->V2
47146552,1619.7197,1622.4778,0.17028,V3->V2
47146553,1619.7197,1622.4778,0.17028,V3->V2
47146554,1619.7196,1622.4778,0.17028,V3->V2
47146555,1619.7192,1622.4778,0.17031,V3->V2
47146556,1619.7192,1622.4778,0.17031,V3->V2
47146557,1619.7186,1622.4778,0.17035,V3->V2
47146558,1619.7186,1622.4778,0.17035,V3->V2
47146559,1619.7183,1622.4778,0.17037,V3->V2
47146560,1619.7180,1622.4778,0.17038,V3->V2
47146561,1619.7179,1622.4778,0.17040,V3->V2
47146562,1619.7179,1622.4778,0.17040,V3->V2
47146563,1619.7179,1622.4778,0.17040,V3->V2
47146564,1619.7179,1622.4778,0.17040,V3->V2
47146565,1619.7179,1622.4778,0.17040,V3->V2
47146566,1619.7179,1622.4778,0.17040,V3->V2
47146567,1619.7179,1622.4778,0.17040,V3->V2
47146568,1619.7179,1622.4778,0.17040,V3->V2
47146569,1619.7179,1622.4778,0.17040,V3->V2
47146570,1619.7179,1622.4778,0.17040,V3->V2
47146571,1619.7179,1622.4778,0.17040,V3->V2
47146572,1619.7179,1622.4778,0.17040,V3->V2
47146573,1619.7179,1622.4778,0.17040,V3->V2
47146574,1619.6478,1622.4778,0.17473,V3->V2
47146575,1619.6478,1622.4778,0.17473,V3->V2
47146576,1619.6478,1622.4778,0.17473,V3->V2
47146577,1619.6478,1622.4778,0.17473,V3->V2
47146578,1619.6478,1622.4778,0.17473,V3->V2
47146579,1619.3547,1622.4778,0.19286,V3->V2
47146580,1619.3547,1622.4778,0.19286,V3->V2
47146581,1619.3547,1622.4778,0.19286,V3->V2
47146582,1619.2714,1622.4778,0.19801,V3->V2
47146583,1619.0938,1622.4778,0.20900,V3->V2
47146584,1619.0938,1622.4778,0.20900,V3->V2
47146585,1618.6185,1622.4778,0.23843,V3->V2
47146586,1618.4997,1622.4778,0.24579,V3->V2
47146587,1618.4997,1622.4778,0.24579,V3->V2
47146588,1618.4118,1622.4778,0.25123,V3->V2
47146589,1618.2836,1622.4778,0.25917,V3->V2
47146590,1618.1492,1622.2636,0.25427,V3->V2
47146591,1617.8858,1622.2636,0.27059,V3->V2
47146592,1617.6576,1622.2636,0.28473,V3->V2
47146593,1617.6576,1622.2636,0.28473,V3->V2
47146594,1617.6576,1621.9080,0.26275,V3->V2
47146595,1617.6668,1621.9080,0.26218,V3->V2
47146596,1617.6630,1621.9080,0.26241,V3->V2
